Core checksum filename	Core checksum
O10-01_S14_L005_R1_001.fastq.gz	f388ad0ac5a616c7ffc31be282f29f51
O10-01_S14_L006_R1_001.fastq.gz	36a11211824a087b113943bae7579c59
O10-01_S14_L007_R1_001.fastq.gz	ae61d33898077d9155a212973d729dad
O10-01_S14_L008_R1_001.fastq.gz	b9337292042be39e6c10090dbefac8ee
O10-02_S15_L005_R1_001.fastq.gz	bcf2e61a33a5131f31d7a7352ef5607a
O10-02_S15_L006_R1_001.fastq.gz	dd14d3f3a51e4b46ddb025a0ad217ed0
O10-02_S15_L007_R1_001.fastq.gz	d686414545f4aa576b0407b0047faf6c
O10-02_S15_L008_R1_001.fastq.gz	595f72c7574fde74a3dff4b7a64ce1f4
O10-03_S1_L001_R1_001.fastq.gz	9fa34912fd9fd5a6af14834199f17b43
O10-03_S1_L002_R1_001.fastq.gz	302387c12b6641860f2444844e9a2413
O10-03_S1_L003_R1_001.fastq.gz	4cf201d6eb5001df85f85533b31895f9
O10-03_S1_L004_R1_001.fastq.gz	414cf1e223b6f08d38bc4e85dddd1b02
O10-04_S5_L001_R1_001.fastq.gz	784739b165a9adaf579394d7f311b93f
O10-04_S5_L002_R1_001.fastq.gz	360b587ea822cca32ce326bb04d3bfcd
O10-04_S5_L003_R1_001.fastq.gz	f3f71d63a9d03ef00d22ac3c6b36f234
O10-04_S5_L004_R1_001.fastq.gz	0120627a4a5a2b3d8a9ddce6ee6afbfb
O10-05_S4_L001_R1_001.fastq.gz	6778ae406a16167bd73502a562bd73ac
O10-05_S4_L002_R1_001.fastq.gz	8dde9f2760d6d9c2ec1db18cc6d4111a
O10-05_S4_L003_R1_001.fastq.gz	7277189a6bb60d204b405002f59aa9f5
O10-05_S4_L004_R1_001.fastq.gz	989f93835c778e8b6ce9b867d91f44dc
O10-06_S10_L005_R1_001.fastq.gz	c4d6442fd13abbb55cf132fe6a2e9346
O10-06_S10_L006_R1_001.fastq.gz	48f027209b1e6fb8a42268fc0ac3404e
O10-06_S10_L007_R1_001.fastq.gz	b41c9e04f07a20ab8f9fe2d488648c92
O10-06_S10_L008_R1_001.fastq.gz	b70047f0a12a587a677feaf55bef415f
O10-07_S11_L005_R1_001.fastq.gz	ca10e22d63ac09b04dfed8d3d31a06f4
O10-07_S11_L006_R1_001.fastq.gz	f5ea24fc41d93f14cc477498b716476b
O10-07_S11_L007_R1_001.fastq.gz	b02b1ce75001fd28c1f8072238292de5
O10-07_S11_L008_R1_001.fastq.gz	810057059a259ce94a7721001a509619
O10-08_S8_L001_R1_001.fastq.gz	a084ccd577c4e736d10d7d59d786195c
O10-08_S8_L002_R1_001.fastq.gz	6771714fb34181312b986af5b1ef107c
O10-08_S8_L003_R1_001.fastq.gz	9c01d763e4a1ebfdfa9592fddcbc3f25
O10-08_S8_L004_R1_001.fastq.gz	47c32e3c75a7c4d0ecc77ee23d13ef5d
O10-09_S10_L005_R1_001.fastq.gz	5e82f426a937befbe4f6102b6cbccfe2
O10-09_S10_L006_R1_001.fastq.gz	3d521da8a73f06fe022c5203351b9f5f
O10-09_S10_L007_R1_001.fastq.gz	438ab178b74b2c8ef981acf9b636fcab
O10-09_S10_L008_R1_001.fastq.gz	e40fc13f9495830100b0e9fc8619edce
O10-10_S8_L001_R1_001.fastq.gz	53b99446b82fa5e7b22cb46ef2695317
O10-10_S8_L002_R1_001.fastq.gz	a88f70c27963e938050db7c8edab5ab6
O10-10_S8_L003_R1_001.fastq.gz	aca8040245ec06ab81bb7eab7e1f4584
O10-10_S8_L004_R1_001.fastq.gz	0ab4e23249a306e08f0bf839f769db96
O10-11_S7_L001_R1_001.fastq.gz	40498585ba95f3c70641b3cddcda8f0e
